ipd_m,logical_m,display_m,true_disparity_px,display_disparity_px,excess_disparity_px,left_centroid_px,right_centroid_px
0.058,0.400000006,0.400000,128.587400,128.587400,0.000000,,
0.058,2,2.000000,25.717500,25.717500,0.000000,,
0.058,4,4.000000,12.858760,12.858760,0.000000,,
0.058,20,20.000000,2.571777,2.571777,0.000000,,
0.058,100,100.000000,0.514374,0.514374,0.000000,,
0.058,1000,376.923100,0.051422,0.136475,0.085052,,
0.058,1000000,499.840100,0.000031,0.102905,0.102875,,
0.058,1E+09,499.999800,0.000000,0.102875,0.102875,,
0.064,0.400000006,0.400000,141.889600,141.889600,0.000000,582.995400,441.006500
0.064,2,2.000000,28.377930,28.377930,0.000000,526.198900,497.784400
0.064,4,4.000000,14.188960,14.188960,0.000000,519.103600,504.896400
0.064,20,20.000000,2.837769,2.837769,0.000000,513.369000,510.626800
0.064,100,100.000000,0.567535,0.567535,0.000000,512.315700,511.684300
0.064,1000,376.923100,0.056763,0.150604,0.093842,512.030300,511.987600
0.064,1000000,499.840100,0.000031,0.113525,0.113495,511.995500,512.004600
0.064,1E+09,499.999800,0.000000,0.113525,0.113525,511.995500,512.004600
0.072,0.400000006,0.400000,159.625800,159.625800,0.000000,,
0.072,2,2.000000,31.925170,31.925170,0.000000,,
0.072,4,4.000000,15.962550,15.962550,0.000000,,
0.072,20,20.000000,3.192505,3.192505,0.000000,,
0.072,100,100.000000,0.638519,0.638519,0.000000,,
0.072,1000,376.923100,0.063843,0.169403,0.105560,,
0.072,1000000,499.840100,0.000092,0.127716,0.127625,,
0.072,1E+09,499.999800,0.000000,0.127686,0.127686,,
