control,corner,x,y,z
UI Map,0,-4.41,1.68,3.45
UI Map,1,-3.69,1.68,3.45
UI Map,2,-4.41,1.92,3.45
UI Map,3,-3.69,1.92,3.45
UI Map,4,-4.41,1.68,3.55
UI Map,5,-3.69,1.68,3.55
UI Map,6,-4.41,1.92,3.55
UI Map,7,-3.69,1.92,3.55
Map Back,0,-1.45999992,0.43,3.45
Map Back,1,-0.7399999,0.43,3.45
Map Back,2,-1.45999992,0.67,3.45
Map Back,3,-0.7399999,0.67,3.45
Map Back,4,-1.45999992,0.43,3.55
Map Back,5,-0.7399999,0.43,3.55
Map Back,6,-1.45999992,0.67,3.55
Map Back,7,-0.7399999,0.67,3.55
Hanoi Reset,0,-4.5,0.689999938,3.46
Hanoi Reset,1,-3.60000014,0.689999938,3.46
Hanoi Reset,2,-4.5,0.909999967,3.46
Hanoi Reset,3,-3.60000014,0.909999967,3.46
Hanoi Reset,4,-4.5,0.689999938,3.54
Hanoi Reset,5,-3.60000014,0.689999938,3.54
Hanoi Reset,6,-4.5,0.909999967,3.54
Hanoi Reset,7,-3.60000014,0.909999967,3.54
Map Zoom,0,-3.06,0.43,3.45
Map Zoom,1,-2.34000015,0.43,3.45
Map Zoom,2,-3.06,0.67,3.45
Map Zoom,3,-2.34000015,0.67,3.45
Map Zoom,4,-3.06,0.43,3.55
Map Zoom,5,-2.34000015,0.43,3.55
Map Zoom,6,-3.06,0.67,3.55
Map Zoom,7,-2.34000015,0.67,3.55
UI Close,0,-4.375,1.175,3.46
UI Close,1,-3.72500014,1.175,3.46
UI Close,2,-4.375,1.425,3.46
UI Close,3,-3.72500014,1.425,3.46
UI Close,4,-4.375,1.175,3.54
UI Close,5,-3.72500014,1.175,3.54
UI Close,6,-4.375,1.425,3.54
UI Close,7,-3.72500014,1.425,3.54
UI Open,0,-1.425,0.675,1.76
UI Open,1,-0.7750001,0.675,1.76
UI Open,2,-1.425,0.925,1.76
UI Open,3,-0.7750001,0.925,1.76
UI Open,4,-1.425,0.675,1.83999991
UI Open,5,-0.7750001,0.675,1.83999991
UI Open,6,-1.425,0.925,1.83999991
UI Open,7,-0.7750001,0.925,1.83999991
UI Reset,0,-3.875,0.525,3.46
UI Reset,1,-3.225,0.525,3.46
UI Reset,2,-3.875,0.775,3.46
UI Reset,3,-3.225,0.775,3.46
UI Reset,4,-3.875,0.525,3.54
UI Reset,5,-3.225,0.525,3.54
UI Reset,6,-3.875,0.775,3.54
UI Reset,7,-3.225,0.775,3.54
Map Reset,0,-2.26,0.43,3.45
Map Reset,1,-1.54,0.43,3.45
Map Reset,2,-2.26,0.67,3.45
Map Reset,3,-1.54,0.67,3.45
Map Reset,4,-2.26,0.43,3.55
Map Reset,5,-1.54,0.43,3.55
Map Reset,6,-2.26,0.67,3.55
Map Reset,7,-1.54,0.67,3.55
UI Colors,0,-4.375,2.175,3.46
UI Colors,1,-3.72500014,2.175,3.46
UI Colors,2,-4.375,2.425,3.46
UI Colors,3,-3.72500014,2.425,3.46
UI Colors,4,-4.375,2.175,3.54
UI Colors,5,-3.72500014,2.175,3.54
UI Colors,6,-4.375,2.425,3.54
UI Colors,7,-3.72500014,2.425,3.54
Map Rotate,0,-3.86000013,0.43,3.45
Map Rotate,1,-3.13999987,0.43,3.45
Map Rotate,2,-3.86000013,0.67,3.45
Map Rotate,3,-3.13999987,0.67,3.45
Map Rotate,4,-3.86000013,0.43,3.55
Map Rotate,5,-3.13999987,0.43,3.55
Map Rotate,6,-3.86000013,0.67,3.55
Map Rotate,7,-3.13999987,0.67,3.55
UI Back,0,-1.375,0.525,3.46
UI Back,1,-0.7249999,0.525,3.46
UI Back,2,-1.375,0.775,3.46
UI Back,3,-0.7249999,0.775,3.46
UI Back,4,-1.375,0.525,3.54
UI Back,5,-0.7249999,0.525,3.54
UI Back,6,-1.375,0.775,3.54
UI Back,7,-0.7249999,0.775,3.54
